column,name,class,n,zero_share,nunique,mean,std,min,p01,p50,p99,max
c1,Electrode cap offset,E01,538870,0.12739992948206433,54,1.6500338,1.1713825,0.0,0.0,1.6,4.699999809265137,5.4
c1,Electrode cap offset,E02,265874,0.2754274581192595,56,1.1147004,1.2111518,0.0,0.0,0.7,3.9000000953674316,5.7
c1,Electrode cap offset,E03,538404,0.055358058261082754,62,2.584769,1.2935313,0.0,0.0,2.5,5.400000095367432,12.4
c1,Electrode cap offset,E04,539193,0.18277870818055872,71,1.9344735,1.5998111,0.0,0.0,1.7,5.900000095367432,7.0
c2,Electrode force,E01,538870,0.6988976933212092,3319,230.14761,808.8677,0.0,0.0,0.0,4200.0,5105.0
c2,Electrode force,E02,265874,0.6587443676327884,3258,380.15598,921.6705,0.0,0.0,0.0,3700.0,4305.0
c2,Electrode force,E03,538404,0.5896817259901487,3963,393.5534,945.37494,0.0,0.0,0.0,4045.969999999972,4616.0
c2,Electrode force,E04,539193,0.7011830643201971,4201,456.1043,1139.6051,0.0,0.0,0.0,4500.0,5284.0
c3,Electrode position,E01,538870,0.003063818731790599,1915,106.91926,56.055363,-29.3,-2.9000000953674316,103.0,208.6999969482422,208.7
c3,Electrode position,E02,265874,0.0036521058847423966,2768,105.71358,93.68463,-33.3,-4.699999809265137,90.8,269.20001220703125,324.6
c3,Electrode position,E03,538404,0.0016084575894681318,2186,97.564514,64.17271,-12.7,-5.699999809265137,109.0,206.1999969482422,302.2
c3,Electrode position,E04,539193,0.0023052969901315484,1674,91.57309,54.124687,-9.3,-5.099999904632568,100.2,157.0,160.7
c4,Force build-up,E01,538870,0.9392822016441813,2,0.0607178,0.23881216,0.0,0.0,0.0,1.0,1.0
c4,Force build-up,E02,265874,0.8930922166138848,2,0.106907785,0.30899656,0.0,0.0,0.0,1.0,1.0
c4,Force build-up,E03,538404,0.9084553606585389,2,0.09154464,0.28838232,0.0,0.0,0.0,1.0,1.0
c4,Force build-up,E04,539193,0.8733199429517816,2,0.12668006,0.33261454,0.0,0.0,0.0,1.0,1.0
c5,Balance pressure,E01,538870,0.06905376064728042,7700,-25.122377,1402.0262,-4310.0,-4249.0,109.0,4327.619999999879,5025.0
c5,Balance pressure,E02,265874,0.08141826579507587,8837,734.52405,1824.935,-3591.0,-617.27,103.0,7970.270000000019,11856.0
c5,Balance pressure,E03,538404,0.13663717208638865,8205,492.78833,1431.9285,-4877.0,-3528.0,165.0,6027.0,9868.0
