class,code,files,episodes,total_hours,median_duration_s,max_duration_s,median_ttf_end_h,min_ttf_end_h
E01,E001,1,1,0.07305555555555555,263.0,263,164.27305555555554,164.27305555555554
E01,E003,9,30,68.19083333333333,5731.0,39476,48.21111111111111,0.0
E01,E009,1,2,0.015833333333333335,28.5,30,0.6886111111111111,0.5522222222222222
E01,E010,1,5,0.04833333333333333,35.0,40,164.3875,0.36666666666666664
E01,E011,1,11,19.022777777777776,7735.0,26368,9.421388888888888,0.011111111111111112
E01,E012,18,23,0.6513888888888889,28.0,439,0.14833333333333334,0.0
E01,E028,2,2,0.0575,103.5,198,60.191805555555554,4.790277777777778
E01,E029,5,15,17.781944444444445,65.0,26667,70.04,0.09861111111111111
E02,E001,1,3,0.08944444444444444,98.0,198,0.06833333333333333,0.0275
E02,E003,6,203,38.37111111111111,4.0,59360,131.80416666666667,0.04972222222222222
E02,E007,1,1,0.08472222222222223,305.0,305,109.8675,109.8675
E02,E009,2,2,0.006666666666666667,12.0,16,0.1275,0.11555555555555555
E02,E011,4,125,54.71333333333333,46.0,100580,85.03694444444444,0.12111111111111111
E02,E012,2,3,0.1075,92.0,251,50.1175,0.0
E02,E016,17,19,0.7811111111111111,95.0,601,0.13416666666666666,0.0
E02,E028,3,3,0.03833333333333333,42.0,59,38.98027777777778,0.06333333333333334
E02,E029,6,30,31.87388888888889,378.5,37796,65.54027777777777,0.08027777777777778
E03,E003,11,42,101.43,6360.0,34212,72.15458333333333,0.17
E03,E011,1,1,1.2438888888888888,4478.0,4478,24.209444444444443,24.209444444444443
E03,E012,2,2,0.06,108.0,126,45.32819444444445,3.924722222222222
E03,E028,18,18,0.7225,55.0,601,0.15166666666666667,0.0
E03,E029,7,11,52.89138888888889,666.0,87946,117.37611111111111,0.19527777777777777
E04,E003,11,27,52.492222222222225,6325.0,33913,61.999722222222225,21.248333333333335
E04,E011,6,16,41.56583333333333,9476.0,29200,105.30652777777777,21.508333333333333
E04,E012,2,6,0.3025,65.0,826,84.16152777777778,21.405555555555555
E04,E028,1,1,0.029166666666666667,105.0,105,57.59166666666667,57.59166666666667
E04,E029,18,20,2.057777777777778,462.5,601,0.00625,0.0
