file,class,gun,n_raw_rows,n_grid_1hz,start,end,span_days,missing_rate,n_gaps,longest_gap_s,gap_over_1h,outlier_rate,c10_on_share,welds_total,welds_per_hour,position_count_delta,c2_zero_share,c5_zero_share,n_error_episodes,error_state_share,n_error_codes,top_code_by_time,last_code,last_code_end_s_before_failure,last_code_duration_s,last10min_codes,discard_by_paper,nunique_c1,nunique_c2,nunique_c3,nunique_c4,nunique_c5,nunique_c6,nunique_c7,nunique_c8,nunique_c9,nunique_c11,nunique_c12,nunique_c13,nunique_c14,nunique_c15,nunique_c16,nunique_c17,nunique_c18,nunique_c19
E01_0,E01,0,601494,605401,2021-08-17 21:45:37,2021-08-24 21:55:37,7.01,0.006453573746987518,1419,44,0,0.12136779419246077,0.8419518731691422,83097.0,494.13478691774026,174946.0,0.7787176596940285,0.24358846472284013,7,0.13117670334201173,2,E003,E012,595.0,6.0,E012,False,17,3050,1624,2,4310,66,1,1,1,82612,81203,28,11,8,6,2,2,371788
E01_1,E01,1,597403,605401,2021-10-05 10:01:56,2021-10-12 10:11:56,7.01,0.01321107827704282,1426,927,0,0.034479237633557244,0.7673078307273314,3931.0,23.375619425173436,8266.0,0.739154306222098,0.26654201602603267,2,2.6782590646515e-05,2,E012,E012,589.0,12.0,E012,False,24,1064,1550,2,1924,39,1,1,1,3924,4105,10,13,126,7,1,2,235214
E01_10,E01,10,598705,605401,2021-08-25 21:44:07,2021-09-01 21:54:07,7.01,0.011060437627291697,1495,929,0,0.22532298878412574,0.8874236894630911,93165.0,554.00396432111,192628.0,0.739541176372337,0.0007299087196532516,7,0.10471935260270084,2,E003,E012,596.0,5.0,E012,False,43,3785,1554,2,4669,39,1,1,1,92422,90311,25,15,11,6,2,2,372493
E01_11,E01,11,599371,605401,2021-10-04 16:54:26,2021-10-11 17:04:26,7.01,0.009960340336405138,1378,915,0,0.03694206092720535,0.6042584642900641,2117.0,12.58870168483647,4504.0,0.7317621306336143,0.0003486988859988221,1,7.00734603442609e-05,1,E012,E012,559.0,42.0,E012,False,10,665,1047,2,1026,16,1,1,1,2117,2132,3,11,45,8,1,2,235311
E01_12,E01,12,600224,605401,2021-10-08 08:45:40,2021-10-15 08:55:40,7.01,0.008551356869248683,1407,44,0,0.014083075651756677,0.7231067068294503,8304.0,49.379583746283444,17280.0,0.829538638908141,0.0038019139521245403,6,0.10306318974249613,2,E029,E012,196.0,405.0,E012,False,1,1202,974,2,1813,27,1,1,1,8256,8113,5,11,11,7,2,2,235892
E01_13,E01,13,600368,605401,2021-08-30 21:47:44,2021-09-06 21:57:44,7.01,0.008313497995543484,1400,45,0,0.04200923433627375,0.8960154438610985,43620.0,259.38553022794844,91247.0,0.5976567705140847,0.01186272419582656,3,0.012042613863497056,3,E003,E012,533.0,68.0,E012,False,17,2294,1598,2,3431,63,1,1,1,43443,78690,4,10,6,5,2,2,372703
E01_14,E01,14,600085,605401,2021-10-08 08:45:39,2021-10-15 08:55:39,7.01,0.008780956754283475,1349,45,0,0.1554763075231009,0.7206529075047702,8351.0,49.65906838453914,17608.0,0.25020122149362173,3.3328611779997835e-06,1,0.0006565736520659574,1,E012,E012,207.0,394.0,E012,False,21,1424,1129,2,2051,30,1,1,1,8276,8230,3,13,6,9,2,2,235893
E01_15,E01,15,601385,605401,2021-09-28 06:41:03,2021-10-05 06:51:03,7.01,0.006633619700000537,1294,83,0,0.057063278931133964,0.6759264032192356,2817.0,16.751238850346876,6294.0,0.9922844766663618,0.4945168236653724,7,0.0014433349684478329,3,E012,E012,162.0,439.0,E012,False,13,567,941,2,1351,10,1,1,1,2810,6095,7,8,6,4,2,2,221452
E01_16,E01,16,597729,605401,2021-09-05 05:31:52,2021-09-12 05:41:52,7.01,0.012672592215738021,2010,42,0,0.17433653043436073,0.8091961407259811,35441.0,210.74925668979185,77223.0,0.9078411788619927,0.001833606868664562,1,0.00021079786993771424,1,E012,E012,475.0,126.0,E012,False,25,2303,1935,2,3486,62,1,1,1,35134,70554,13,11,30,8,2,2,371515
E01_17,E01,17,599051,605401,2021-10-08 09:23:45,2021-10-15 09:33:45,7.01,0.010488915611305605,1575,919,0,0.01535428536134653,0.4516977686373948,2238.0,13.308225966303269,5371.0,0.9899424256031624,0.0006126356520563357,2,0.0008847326855309481,1,E012,E012,0.0,423.0,E012,False,12,1351,785,2,4197,25,1,1,1,2229,4606,13,12,8,7,2,2,235827
E01_2,E01,2,594989,605401,2021-09-03 11:41:31,2021-09-10 11:51:31,7.01,0.01719851800707295,1857,3628,1,0.11614836576810664,0.8645134615934076,103696.0,616.6263627353815,214432.0,0.2379438947610796,8.403516703670152e-05,4,0.0006504321928640697,2,E029,E012,581.0,20.0,E012,False,29,3831,1538,2,4665,73,1,1,1,102804,100404,28,16,11,12,2,2,370108
E01_3,E01,3,595891,605401,2021-10-06 02:02:39,2021-10-13 02:12:39,7.01,0.015708596450947354,1415,3183,0,0.19109199501251067,0.4811483979452618,2409.0,14.325074331020812,5309.0,0.791107769709561,0.00018963199645572764,2,1.8459751867371718e-05,2,E028,E012,599.0,2.0,E012,False,19,888,1013,2,4151,36,1,1,1,2404,4947,2,11,149,7,1,2,234763
E01_4,E01,4,598328,605401,2021-10-08 01:12:58,2021-10-15 01:22:58,7.01,0.01168316537303371,1579,928,0,0.09661924563115883,0.803801593774652,3988.0,23.714568880079284,8196.0,0.8191710901044243,0.00018551697396745597,4,0.0009459694348250458,2,E003,E003,0.0,508.0,"E003,E012",False,16,1168,906,2,5256,16,1,1,1,3989,3812,21,13,7,9,2,2,235813
E01_5,E01,5,600512,605401,2021-08-18 21:48:59,2021-08-25 21:58:59,7.01,0.008075639121838285,1472,44,0,0.15116600500905894,0.8863136789939252,6304.0,37.486620416253714,16996.0,0.46207902589790045,0.06940577373974209,6,0.06110452413940105,2,E003,E012,533.0,68.0,E012,False,14,817,1136,2,1373,21,1,1,1,6231,16016,3,6,11,4,2,2,370555
E01_6,E01,6,595508,605401,2021-10-08 01:12:58,2021-10-15 01:22:58,7.01,0.01634123498309381,1551,3626,1,0.09832445575878074,0.8054249481115283,4183.0,24.87413280475718,8564.0,0.7515616918664401,0.00011082974536026384,4,0.0009554867440907595,2,E003,E003,0.0,511.0,"E003,E012",False,17,1085,956,2,4225,20,1,1,1,4183,4024,26,13,7,9,2,2,234939
E01_7,E01,7,598190,605401,2021-10-03 14:45:38,2021-10-10 14:55:38,7.01,0.011911113460334577,1438,905,0,0.23659873953091828,0.3827563148832311,4892.0,29.090188305252724,13080.0,0.6430398368411374,0.004735953459603136,1,1.0030257944800147e-05,1,E012,E012,595.0,6.0,E012,False,20,890,1187,2,1547,34,1,1,1,4877,6421,15,12,21,10,1,2,234201
E01_8,E01,8,599631,605401,2021-08-27 21:45:56,2021-09-03 21:55:56,7.01,0.00953087292554855,1457,917,0,0.11201055315685814,0.8620484931566247,54262.0,322.66798810703665,109996.0,0.8130783765349023,0.06619237497727769,7,0.09675450401997228,2,E003,E012,534.0,67.0,E012,False,39,3058,1442,2,3929,42,1,1,1,54035,54454,17,13,12,9,2,2,372271
E01_9,E01,9,598327,604935,2021-08-26 07:11:26,2021-09-02 07:13:40,7.0,0.010923487647433228,1508,928,0,0.11415496877125719,0.8545444213615632,53858.0,320.5123203523029,113372.0,0.509652748413493,0.07518631116429644,24,0.11567587623490165,7,E011,E003,0.0,36.0,"E003,E011,E012,E029",False,36,3402,1550,2,4239,65,1,1,1,53560,112134,16,13,10,10,2,2,372180
E02_0,E02,0,112821,605379,2020-01-11 09:56:16,2020-01-18 10:05:54,7.01,0.8136357554523695,85534,2072,0,0.2904955637691565,0.7904556775777559,78795.0,468.57005044781937,164329.0,0.49685785447744657,0.0013915848999742956,3,0.00031908953120429707,3,E016,E028,228.0,59.0,"E003,E016,E028",True,27,2281,1338,2,3228,90,1,1,1,31120,37860,22,15,10,11,2,2,65264
E02_1,E02,1,469797,605401,2019-12-18 14:02:04,2019-12-25 14:12:04,7.01,0.22399037992999682,42382,35395,2,0.2088625512721452,0.7876934080038825,59052.0,351.15163528245785,127786.0,0.8355928198775215,0.003603684144428338,7,0.0010536465750100575,4,E001,E012,0.0,92.0,"E001,E003,E012,E016",False,5,3529,1383,2,6964,92,1,1,1,54576,111447,22,13,15,9,2,2,239221
E02_10,E02,10,380953,605401,2021-09-10 22:06:15,2021-09-17 22:16:15,7.01,0.3707426978151671,9402,926,0,0.10197058429780051,0.6847065123519174,29760.0,176.9672943508424,74589.0,0.16864810094683597,7.874987203145795e-05,9,0.07806999813625302,4,E029,E016,402.0,98.0,"E009,E016",False,19,2371,2770,2,7044,116,1,1,1,22027,47891,13,11,7,5,1,2,226334
E02_11,E02,11,597974,605401,2021-08-23 15:54:03,2021-08-30 16:04:03,7.01,0.01226790177089232,1943,42,0,0.1320274794556285,0.8615107011341631,11331.0,67.37958374628344,27176.0,0.35540173987497786,0.00021071150250679795,1,8.027104857401827e-05,1,E016,E016,553.0,48.0,E016,False,24,1301,1566,2,3119,43,1,1,1,11199,12801,3,8,7,5,2,2,371186
E02_12,E02,12,364591,605401,2021-09-15 07:57:22,2021-09-22 08:07:22,7.01,0.39776941233992014,372,239115,1,0.1525983910738334,0.8448288630273375,88677.0,527.3161546085232,179477.0,0.6056951488105851,0.13339056641551766,314,0.13893650693516846,3,E011,E016,506.0,95.0,E016,False,7,3179,1535,2,4034,131,2,2,2,53069,71076,43,20,22,16,2,2,146020
E02_13,E02,13,523021,527216,2021-08-16 00:00:17,2021-08-22 02:27:12,6.1,0.007956890534429939,796,919,0,0.11338359262821186,0.9030038946810931,59787.0,408.2455924053754,126794.0,0.7718657568242958,0.0006080061794841889,5,0.24139757294640177,3,E011,E016,320.0,281.0,E016,False,35,2360,2658,2,6432,67,1,1,1,59344,60519,27,12,18,7,2,2,323073
E02_14,E02,14,124764,125026,2021-08-16 00:00:00,2021-08-17 10:43:45,1.45,0.002095564122662541,182,24,0,0.02063095123593344,0.9570068288929499,9649.0,277.83563287342525,20462.0,0.8948174152800488,0.0012744060786765413,1,0.0002965599051008304,1,E016,E016,564.0,37.0,E016,False,20,1146,1455,2,2931,26,1,1,1,9645,9702,22,9,8,7,1,2,76891
E02_15,E02,15,599167,605401,2021-09-01 04:18:42,2021-09-08 04:28:42,7.01,0.010297307074154105,1665,927,0,0.10283777310833207,0.8161447476246189,49068.0,291.7819623389494,204774.0,0.8628045269515845,0.0015922105189371243,1,0.00010347699389318838,1,E016,E016,539.0,62.0,E016,False,13,2428,2579,2,6499,68,1,2,2,48764,93313,17,10,16,6,2,2,372024
E02_16,E02,16,600193,605401,2021-09-01 06:13:53,2021-09-08 06:23:53,7.01,0.008602562599004604,1583,40,0,0.12303042521322308,0.8639354341020306,89496.0,532.1863230921704,190280.0,0.7820634362613359,3.332261455898353e-06,2,0.0001832743800744094,2,E016,E016,528.0,73.0,E016,False,18,3855,1616,2,5176,77,1,1,1,89001,90931,26,16,10,9,2,2,372942
E02_17,E02,17,389526,396219,2021-09-24 15:56:00,2021-09-29 05:59:38,4.59,0.016892173267814004,832,3630,1,0.44604981438979685,0.02409851973937555,47.0,0.42703764089465907,190.0,0.8616498000133496,0.8367785462331141,4,0.0013400902635510852,4,E007,E011,436.0,60.0,"E011,E016",False,3,264,594,2,493,1,1,1,8,48,153,4,10,53,5,2,2,132053
E02_2,E02,2,100,577,2020-03-16 00:00:00,2020-03-16 00:09:36,0.01,0.8266897746967071,84,38,0,0.12,1.0,28.0,175.0,67.0,0.93,0.0,0,0.0,0,,,,,,True,3,5,23,2,69,2,1,1,1,18,26,5,5,7,4,1,2,100
E02_3,E02,3,215189,604693,2020-01-13 08:41:45,2020-01-20 08:39:57,7.0,0.6441351231120584,132688,8278,1,0.22062930726012947,0.7579616058441649,28395.0,169.04804429362386,57626.0,0.501540506252643,0.17240658212083332,2,0.0003438837487046271,2,E016,E029,317.0,50.0,"E016,E029",True,22,1200,1535,2,1742,55,1,1,1,22694,31858,13,8,28,5,2,2,89295
E02_4,E02,4,91033,507487,2020-01-13 08:42:23,2020-01-19 05:40:29,5.87,0.8206200355871185,71645,1743,0,0.01283051201212747,0.98391791987521,36149.0,256.43347796786514,77727.0,0.4187162896971428,0.00016477541111465074,1,0.00039546098667516175,1,E016,E016,0.0,260.0,E016,True,19,3220,918,2,7359,106,1,1,1,15974,20826,2,9,5,6,1,2,56546
E02_5,E02,5,104423,605394,2020-05-14 09:56:39,2020-05-21 10:06:32,7.01,0.8275123308126608,76992,9040,4,0.2087949972707162,0.6775518803328768,69515.0,413.3744526282927,146816.0,0.5915076180534939,0.14947856315179606,7,0.16259827815711098,4,E011,E009,416.0,8.0,"E009,E016",True,12,2140,1639,2,4301,72,1,1,1,26617,32989,25,14,17,8,2,2,55409
E02_6,E02,6,94073,605392,2020-05-07 23:56:53,2020-05-15 00:06:44,7.01,0.8446081216798372,73155,21390,6,0.04597493435948678,0.6283099295228174,52698.0,313.37234944027904,111419.0,0.8668480860608251,0.0012118248594176863,1,0.00019134076727647678,1,E016,E016,469.0,125.0,E016,True,46,1146,1110,2,2058,236,1,1,1,20657,26271,16,9,14,6,1,2,56718
E02_7,E02,7,174427,605398,2020-04-22 23:42:59,2020-04-29 23:52:56,7.01,0.7118804488947766,115228,41879,3,0.2652112344992461,0.7442368440665723,62013.0,368.7609948513125,131636.0,0.8210942113319613,0.00039558095936982233,25,0.2445492956939006,4,E003,E029,289.0,10.0,"E016,E029",True,22,1582,1337,2,2338,52,1,1,1,35314,46652,22,10,8,8,2,2,82903
E02_8,E02,8,97943,564139,2020-07-20 16:00:05,2020-07-27 04:42:23,6.53,0.826384986678815,73586,4187,1,0.11323933308148618,0.5601829635604382,68287.0,435.76784403816094,138118.0,0.5821855569055471,0.0003063006034121887,1,5.105010056869812e-05,1,E016,E016,517.0,83.0,E016,True,24,1679,1439,2,3677,60,1,1,1,24425,28698,3,14,7,7,2,2,54681
E02_9,E02,9,377292,605401,2021-09-06 02:40:45,2021-09-13 02:50:45,7.01,0.376789929319575,7318,179,0,0.040573349024098045,0.6984881736161912,122610.0,729.0981169474727,247505.0,0.6092840558506409,0.00549706858348441,5,0.0019454427870190727,3,E029,E016,0.0,601.0,E016,False,25,2696,1590,2,4351,85,1,1,1,74314,129397,25,14,41,10,1,2,246463
E03_0,E03,0,597448,605401,2021-10-19 00:14:13,2021-10-26 00:24:13,7.01,0.013136747379009939,1592,913,0,0.12858859683185817,0.7010836089500676,68761.0,408.88602576808717,142106.0,0.648893292805399,0.15116294639868239,6,0.11187417147601131,2,E003,E028,572.0,29.0,E028,False,22,3690,1501,2,4400,32,1,1,1,68013,122497,25,12,8,6,2,2,236459
E03_1,E03,1,598283,605401,2021-08-30 21:44:31,2021-09-06 21:54:31,7.01,0.011757496271066592,1614,929,0,0.0908366107678139,0.8447223136876696,58316.0,346.7750247770069,131886.0,0.4712251559880525,0.08400539543995066,7,0.05505421347422541,2,E003,E028,558.0,43.0,E028,False,29,3318,1543,2,4387,61,1,1,1,57939,65247,17,16,10,10,2,2,371878
E03_10,E03,10,595895,605401,2021-10-05 21:25:06,2021-10-12 21:35:06,7.01,0.015701989260011096,1413,3183,0,0.1919667055437619,0.4741875666014986,2377.0,14.134786917740335,5184.0,0.8022654997944269,0.00018963072353350843,1,1.5103331962845803e-05,1,E028,E028,592.0,9.0,E028,False,19,874,1009,2,4209,33,1,1,1,2372,4829,2,11,149,7,1,2,234714
E03_11,E03,11,597648,605401,2021-09-11 07:12:36,2021-09-18 07:22:36,7.01,0.01280638783219712,1845,924,0,0.06521229887826949,0.7205227826412872,71096.0,422.7710604558969,150220.0,0.8034127111610848,0.00197273311380612,2,0.00015560999116536825,2,E029,E028,584.0,17.0,E028,False,6,2236,1530,2,3194,190,1,1,1,70294,70790,19,10,7,6,1,2,305540
E03_12,E03,12,596673,605401,2021-09-12 01:23:54,2021-09-19 01:33:54,7.01,0.014416890622909406,1836,922,0,0.033551040519681635,0.7064489259611211,69652.0,414.1843409316154,145248.0,0.6360803991466012,0.0009955201592832255,2,5.3630715651621575e-05,2,E028,E028,581.0,20.0,E028,False,26,2692,1602,2,4181,112,1,1,1,68817,129602,17,11,5,6,1,2,290722
E03_13,E03,13,600768,605401,2021-09-24 01:09:41,2021-10-01 01:19:41,7.01,0.007652778901917956,1534,115,0,0.0018792612123149036,0.09052912272291468,8022.0,47.70267591674925,16692.0,0.9226090604026845,0.15751005379780547,3,0.03417292532225418,2,E029,E028,25.0,576.0,E028,False,25,1514,708,2,2350,31,1,1,1,8020,15147,19,8,9,5,1,2,210285
E03_14,E03,14,599656,605401,2021-09-09 21:55:01,2021-09-16 22:05:01,7.01,0.009489577982196962,1689,44,0,0.11276298411089024,0.8564143442240217,84360.0,501.6451932606541,174442.0,0.7544458823058554,0.08239890870765906,6,0.08196866203289886,2,E003,E028,570.0,31.0,E028,False,37,3401,1604,2,4233,64,1,1,1,83803,83054,23,14,7,10,2,2,331950
