hbin,err_s,present_h,target_mean,target_std,error_state_share,file,class
0,2959,0.9902777777777778,67.60701,367.5675,0.8300140252454418,E01_0,E01
1,3597,0.9991666666666666,0.0,0.0,1.0,E01_0,E01
2,3192,0.9391666666666667,-5.580302,25.960663,0.9440993788819876,E01_0,E01
3,0,0.9188888888888889,194.78386,615.97235,0.0,E01_0,E01
4,0,0.99,1101.9747,1324.1503,0.0,E01_0,E01
5,0,0.9222222222222223,1175.3894,1354.1434,0.0,E01_0,E01
6,0,0.9897222222222222,1088.3427,1333.0469,0.0,E01_0,E01
7,0,0.9422222222222222,1140.0946,1343.0183,0.0,E01_0,E01
8,0,0.9444444444444444,1124.0676,1341.9308,0.0,E01_0,E01
9,0,0.9766666666666667,691.4801,1185.7584,0.0,E01_0,E01
10,0,0.9941666666666666,677.81305,1159.0615,0.0,E01_0,E01
11,0,0.9697222222222223,1125.3466,1346.1438,0.0,E01_0,E01
12,0,0.9269444444444445,1141.0245,1346.8293,0.0,E01_0,E01
13,0,0.9816666666666667,1125.3223,1347.357,0.0,E01_0,E01
14,0,0.9994444444444445,901.62006,1257.0221,0.0,E01_0,E01
15,0,0.9980555555555556,1148.553,1349.3042,0.0,E01_0,E01
16,0,0.9933333333333333,1149.6608,1342.4052,0.0,E01_0,E01
17,0,0.9813888888888889,994.7181,1289.0693,0.0,E01_0,E01
18,0,0.9780555555555556,802.0256,1232.2284,0.0,E01_0,E01
19,0,0.9980555555555556,765.5633,1118.6578,0.0,E01_0,E01
20,0,0.9991666666666666,1084.0048,1322.2379,0.0,E01_0,E01
21,0,0.9991666666666666,1118.993,1332.7362,0.0,E01_0,E01
22,0,0.9991666666666666,1115.8282,1330.1578,0.0,E01_0,E01
23,0,0.9980555555555556,962.39435,1282.7173,0.0,E01_0,E01
24,3169,0.9991666666666666,62.011955,370.18378,0.8810119544064499,E01_0,E01
25,3586,0.9961111111111111,0.0,0.0,1.0,E01_0,E01
26,3184,0.99,-6.4242425,31.390188,0.8933782267115601,E01_0,E01
27,0,0.9994444444444445,360.19928,838.8184,0.0,E01_0,E01
28,0,0.9975,1099.9115,1323.3859,0.0,E01_0,E01
29,0,0.9186111111111112,1140.6927,1338.1708,0.0,E01_0,E01
30,0,0.9988888888888889,1161.1508,1342.904,0.0,E01_0,E01
31,0,0.9994444444444445,1141.8344,1344.4575,0.0,E01_0,E01
32,0,0.9994444444444445,1149.8757,1338.1913,0.0,E01_0,E01
33,0,0.9980555555555556,777.69995,1240.5697,0.0,E01_0,E01
34,0,0.9994444444444445,603.9261,1087.2418,0.0,E01_0,E01
35,0,0.9991666666666666,1158.2148,1345.2382,0.0,E01_0,E01
36,0,0.9991666666666666,1083.3173,1310.9938,0.0,E01_0,E01
37,0,0.9991666666666666,1169.0664,1348.232,0.0,E01_0,E01
38,0,0.9977777777777778,893.27814,1253.0922,0.0,E01_0,E01
39,0,0.9994444444444445,1150.6034,1340.7112,0.0,E01_0,E01
40,0,0.9994444444444445,1036.7777,1297.5037,0.0,E01_0,E01
41,0,0.9991666666666666,883.0595,1217.5753,0.0,E01_0,E01
42,0,0.9966666666666667,788.64105,1243.1462,0.0,E01_0,E01
43,0,0.9977777777777778,627.1548,1123.4868,0.0,E01_0,E01
44,0,0.99,1117.1465,1330.3776,0.0,E01_0,E01
45,0,0.9941666666666666,1071.6547,1312.8081,0.0,E01_0,E01
46,0,0.9991666666666666,1141.2616,1335.2382,0.0,E01_0,E01
47,0,0.9988888888888889,1085.5868,1329.8492,0.0,E01_0,E01
48,0,0.9988888888888889,45.501945,370.14697,0.0,E01_0,E01
49,0,0.9991666666666666,-18.162914,4.6180153,0.0,E01_0,E01
50,0,0.9908333333333333,-182.13484,810.9499,0.0,E01_0,E01
51,0,0.9955555555555555,-3005.0903,8.267282,0.0,E01_0,E01
52,0,0.9994444444444445,-2979.7866,8.03087,0.0,E01_0,E01
53,0,0.9841666666666666,-2949.7122,11.861786,0.0,E01_0,E01
54,0,0.9991666666666666,-2822.5225,87.43874,0.0,E01_0,E01
55,0,0.9994444444444445,-2088.7747,389.41965,0.0,E01_0,E01
56,0,0.9994444444444445,-305.02475,381.44534,0.0,E01_0,E01
57,0,0.9991666666666666,-48.435364,4.9303327,0.0,E01_0,E01
58,0,0.9994444444444445,-32.268204,4.833456,0.0,E01_0,E01
59,0,0.9991666666666666,-15.097025,5.707584,0.0,E01_0,E01
60,0,0.9977777777777778,-11.018931,4.1221504,0.0,E01_0,E01
61,0,0.9855555555555555,193.8168,635.8359,0.0,E01_0,E01
62,0,0.9977777777777778,829.0053,1199.416,0.0,E01_0,E01
63,0,0.9869444444444444,234.66394,651.8557,0.0,E01_0,E01
64,0,0.9986111111111111,-9.8161335,27.900238,0.0,E01_0,E01
65,0,0.9761111111111112,-1.8136027,75.262856,0.0,E01_0,E01
66,0,0.9986111111111111,331.08817,445.97815,0.0,E01_0,E01
67,0,0.9994444444444445,169.02696,228.05196,0.0,E01_0,E01
68,0,0.9977777777777778,66.91704,355.16003,0.0,E01_0,E01
69,0,0.9991666666666666,-14.083125,35.684597,0.0,E01_0,E01
70,0,0.9994444444444445,0.0,0.0,0.0,E01_0,E01
71,0,0.9991666666666666,0.0,0.0,0.0,E01_0,E01
72,0,0.9988888888888889,0.0,0.0,0.0,E01_0,E01
73,0,0.9977777777777778,0.0,0.0,0.0,E01_0,E01
74,0,0.9811111111111112,0.0,0.0,0.0,E01_0,E01
75,0,0.9994444444444445,0.0,0.0,0.0,E01_0,E01
76,0,0.9994444444444445,0.0,0.0,0.0,E01_0,E01
77,0,0.9936111111111111,0.0,0.0,0.0,E01_0,E01
78,0,0.9952777777777778,0.0,0.0,0.0,E01_0,E01
79,0,0.9972222222222222,0.0,0.0,0.0,E01_0,E01
80,0,0.9994444444444445,0.0,0.0,0.0,E01_0,E01
81,0,0.9994444444444445,0.0,0.0,0.0,E01_0,E01
82,0,0.9994444444444445,0.0,0.0,0.0,E01_0,E01
83,0,0.9994444444444445,0.0,0.0,0.0,E01_0,E01
84,0,0.9994444444444445,0.0,0.0,0.0,E01_0,E01
85,0,0.9994444444444445,0.0,0.0,0.0,E01_0,E01
86,0,0.9994444444444445,0.0,0.0,0.0,E01_0,E01
87,0,0.9988888888888889,0.0,0.0,0.0,E01_0,E01
88,1081,0.9994444444444445,0.0,0.0,0.30044469149527514,E01_0,E01
89,3598,0.9994444444444445,0.0,0.0,1.0,E01_0,E01
90,3593,0.9980555555555556,0.0,0.0,1.0,E01_0,E01
91,3574,0.9927777777777778,0.0,0.0,1.0,E01_0,E01
92,3597,0.9991666666666666,0.0,0.0,1.0,E01_0,E01
93,3542,0.9838888888888889,0.0,0.0,1.0,E01_0,E01
94,3593,0.9980555555555556,0.0,0.0,1.0,E01_0,E01
95,3597,0.9991666666666666,0.0,0.0,1.0,E01_0,E01
96,3598,0.9994444444444445,0.0,0.0,1.0,E01_0,E01
97,3598,0.9994444444444445,0.0,0.0,1.0,E01_0,E01
98,3578,0.9938888888888889,0.0,0.0,1.0,E01_0,E01
99,2394,0.9994444444444445,31.89772,81.651505,0.6653696498054474,E01_0,E01
100,0,0.9994444444444445,345.42773,889.95166,0.0,E01_0,E01
101,0,0.9941666666666666,1089.207,1322.9597,0.0,E01_0,E01
102,0,0.9991666666666666,1109.7028,1331.2449,0.0,E01_0,E01
103,0,0.9991666666666666,1158.7606,1345.2186,0.0,E01_0,E01
104,0,0.9991666666666666,1090.899,1323.9882,0.0,E01_0,E01
105,0,0.9988888888888889,780.1224,1244.1023,0.0,E01_0,E01
106,0,0.9994444444444445,677.21375,1165.3309,0.0,E01_0,E01
