,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
c1,1.0,0.0007016883032664257,0.041151480857189365,0.00473086967082121,-0.011056025411074262,-0.021888146708636695,,,,-0.009039085174440124,0.4888340088336712,0.4868025740078524,-0.00622076395204261,0.050701601877414515,0.06658861480277434,-0.005727198035516061,,0.006488396051820498,0.3832601004043088
c2,0.000701688303266426,1.0,-0.5916234800702996,0.9443840398535635,0.6845546814107671,0.014952617967842403,,,,0.12148540523263159,0.02254669417471798,0.057441155369929296,-0.8916421059679757,-0.01144126627224805,-0.3488662263916454,0.017759435555985706,,0.8972641376428311,-0.030288455695502974
c3,0.041151480857189365,-0.5916234800702996,1.0,-0.7169501146693845,-0.45020480705379984,0.011793252722300383,,,,-0.04111711860625714,0.001180721423826783,-0.028887641200428756,0.7499897955992392,0.08765330240199415,0.6954223011076556,0.10723169284142432,,-0.7526145299832993,0.0886647917208411
c4,0.0047308696708212115,0.9443840398535635,-0.7169501146693845,1.0,0.5883801735470437,0.007531708975485815,,,,0.07922547700232409,0.012867259021758216,0.01080029342892842,-0.8780225956843498,-0.0819558708530743,-0.34857496898038726,-0.025446156458947856,,0.8825101822952681,0.01638023377622494
c5,-0.011056025411074253,0.6845546814107671,-0.45020480705379984,0.5883801735470437,1.0,0.02362814694426063,,,,0.11287243068372264,0.04508709325636558,0.10446369633234003,-0.7208356144071915,-0.0371082585874835,-0.35119455345851475,0.01858943744731951,,0.7256995486781218,-0.1259548143918484
c6,-0.021888146708636695,0.0149526179678424,0.011793252722300383,0.007531708975485815,0.02362814694426063,1.0,,,,-0.03626635214596239,0.01823484101398406,0.025175950231460662,-0.008716944730829195,0.0862760579941762,0.032143435514697005,-0.004854811125975795,,0.008767580855590738,0.02428947165769865
c7,,,,,,,,,,,,,,,,,,,
c8,,,,,,,,,,,,,,,,,,,
c9,,,,,,,,,,,,,,,,,,,
c10,-0.009039085174440124,0.12148540523263157,-0.04111711860625714,0.07922547700232409,0.11287243068372264,-0.03626635214596239,,,,1.0,0.04756215601576234,0.11313647448336389,-0.08112020158415886,-0.051407549850480225,-0.03897913382507972,0.001848386034802019,,0.0813399008137623,0.03481408426408109
c11,0.4888340088336712,0.022546694174717982,0.0011807214238267819,0.012867259021758212,0.04508709325636558,0.018234841013984066,,,,0.04756215601576233,1.0,0.9987254419119128,-0.012799636934770705,0.00892600184994425,0.0035394364107483095,-0.0013210106141586088,,0.012793860068050947,0.7475689282157085
c12,0.4868025740078524,0.05744115536992928,-0.028887641200428756,0.010800293428928414,0.10446369633234001,0.02517595023146065,,,,0.11313647448336389,0.9987254419119128,1.0,-0.011194881869341304,0.009175618481357924,-0.0015098880953627644,-0.0013708948987075002,,0.011239073748514761,0.734620989028083
c13,-0.006220763952042609,-0.8916421059679757,0.7499897955992392,-0.8780225956843498,-0.7208356144071915,-0.008716944730829195,,,,-0.08112020158415886,-0.012799636934770705,-0.011194881869341304,1.0,0.09242320586897916,0.3684003044483284,0.023163355368091006,,-0.9950754859664639,-0.01750488755434964
c14,0.0507016018774145,-0.011441266272248053,0.08765330240199415,-0.08195587085307432,-0.0371082585874835,0.08627605799417618,,,,-0.05140754985048023,0.008926001849944243,0.009175618481357927,0.09242320586897919,1.0,0.09797469620610545,0.5552888537081185,,-0.08902791030976542,0.0056408136144055435
c15,0.06658861480277434,-0.3488662263916455,0.6954223011076556,-0.34857496898038737,-0.35119455345851475,0.032143435514697005,,,,-0.038979133825079726,0.003539436410748308,-0.0015098880953627637,0.3684003044483284,0.09797469620610545,1.0,0.18949839620447204,,-0.3661789319642193,0.0015846148695465366
c16,-0.0057271980355160625,0.017759435555985702,0.10723169284142432,-0.025446156458947856,0.018589437447319508,-0.004854811125975796,,,,0.001848386034802019,-0.0013210106141586092,-0.0013708948987075002,0.023163355368091023,0.5552888537081185,0.18949839620447204,1.0,,-0.022112874181593287,-0.0011585496642016898
c17,,,,,,,,,,,,,,,,,,,
c18,0.006488396051820498,0.8972641376428311,-0.7526145299832993,0.882510182295268,0.7256995486781218,0.008767580855590734,,,,0.0813399008137623,0.012793860068050946,0.011239073748514765,-0.9950754859664637,-0.08902791030976542,-0.3661789319642193,-0.0221128741815933,,1.0,0.017746126759075064
c19,0.3832601004043088,-0.030288455695502967,0.08866479172084112,0.016380233776224936,-0.1259548143918484,0.02428947165769865,,,,0.034814084264081085,0.7475689282157085,0.734620989028083,-0.017504887554349636,0.005640813614405542,0.0015846148695465377,-0.001158549664201689,,0.01774612675907506,1.0
