,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
c1,1.0,0.0026905325363052,0.01885007813586424,0.0032298162980598784,0.0012117641438744483,-0.018827690119790286,-0.40654830802653996,0.4065483080265403,0.14274643859639086,-0.02475924988679379,0.3974749935346009,0.4084460793573871,-0.0035700396901470724,0.035609842994558716,0.033615615154548695,-0.013750797095630323,,0.004861487849439198,0.31541029805764925
c2,0.002690532536305201,1.0,-0.6565312212772639,0.9432619062710278,0.650687943927246,0.01949639987957463,0.0006748609213234558,0.0017410751733656974,0.04259758938834108,0.10799376689691714,0.005191324212497346,0.01608901766407007,-0.8797972515560707,0.06306477155897965,-0.33636828968719584,0.033136955088066695,,0.8904180319605007,-0.013236568590427315
c3,0.018850078135864236,-0.6565312212772639,1.0,-0.7031309670911814,-0.48609416832180974,-0.019044881117710206,-0.13621752061242615,0.14548553798506786,-0.07462420650838403,-0.058094117590782104,0.0013006236971746172,0.007213003843100909,0.7379857092182414,0.018995653411505286,0.673699289516381,0.03189476773969203,,-0.7424448082015837,0.01821761454110225
c4,0.0032298162980598797,0.9432619062710278,-0.7031309670911813,1.0,0.5652676461779779,0.014285566310588018,-0.024657571228968913,0.01426310890709211,0.017448041946950543,0.10038170478720776,0.003588569664372276,0.0029761577314317035,-0.8664141377613822,-0.005407256895181804,-0.325256946734334,-0.019494540405123866,,0.8739085333719467,0.005946813470108871
c5,0.0012117641438744492,0.650687943927246,-0.48609416832180974,0.5652676461779779,1.0,0.01671075384565778,-0.01028101183922957,-0.015207520920494516,0.05397131752730004,0.10457054353899631,0.016326636012084866,0.03957962124025364,-0.7048059179319948,0.04898275947367435,-0.3349170154323517,0.033319830143799085,,0.7128441034449969,-0.07393174583031267
c6,-0.01882769011979028,0.01949639987957463,-0.019044881117710206,0.014285566310588018,0.016710753845657778,1.0,0.9679020928239649,-0.4874978826625719,0.2340180185557197,-5.793412013775584e-05,0.01764506087379652,-0.00824033593941889,-0.017182756699588252,0.024604523171132604,-0.0077622429300394195,0.016389281585987174,,0.016556146004000977,0.006745547577192023
c7,-0.40654830802653996,0.0006748609213234555,-0.13621752061242615,-0.024657571228968913,-0.01028101183922957,0.967902092823965,1.0,-0.9999999999999989,0.9999999999999983,0.13837385317522757,0.9999070098762145,-0.49231620095332806,-0.023098404669047754,0.10964202379329176,-0.4241833269143114,0.5509608750902616,,-0.023084944831223492,0.006665511992192078
c8,0.40654830802654024,0.0017410751733656982,0.14548553798506786,0.01426310890709211,-0.015207520920494514,-0.4874978826625718,-0.9999999999999989,1.0,-6.772360450213455e-15,-0.27816944076658134,-0.493281673917215,0.5067035538628392,0.009277339334035389,-0.051244596684206015,0.21554891695943937,-0.27223030841645013,,0.013819281847390962,-0.006459111115638789
c9,0.14274643859639086,0.04259758938834109,-0.07462420650838403,0.017448041946950543,0.053971317527300056,0.2340180185557197,0.9999999999999983,-6.716849298982197e-15,1.0,-0.04478251110974976,0.39637503553369136,-0.0035296027822230235,-0.014578600084047582,0.030442022649931073,-0.08961952291369339,0.08983526733103521,,0.018737595088421183,0.18674103516100252
c10,-0.024759249886793785,0.10799376689691713,-0.058094117590782104,0.10038170478720777,0.10457054353899631,-5.793412013775706e-05,0.13837385317522757,-0.2781694407665813,-0.044782511109749734,1.0,0.02533516685674769,0.058418933553535474,-0.10753794398078659,-0.005737030588851993,-0.04555823510672681,0.010169247812184427,,0.10746610136401019,0.015245812353836383
c11,0.397474993534601,0.005191324212497348,0.0013006236971746174,0.0035885696643722753,0.01632663601208487,0.017645060873796525,0.9999070098762145,-0.493281673917215,0.39637503553369136,0.025335166856747686,1.0,0.9711388928636697,-0.003372517264249633,0.007664337214532442,-0.009974854797851486,0.012821273453861,,0.003538940136341549,0.7325898422623736
c12,0.4084460793573871,0.016089017664070067,0.007213003843100908,0.0029761577314317,0.03957962124025362,-0.00824033593941889,-0.49231620095332806,0.506703553862839,-0.003529602782223023,0.05841893355353546,0.9711388928636697,1.0,-0.0016335429808290876,0.0047447748039357,0.003839729448663518,-0.005376250439340048,,0.003231878169600627,0.7227391467306061
c13,-0.0035700396901470724,-0.8797972515560707,0.7379857092182414,-0.8664141377613822,-0.7048059179319948,-0.017182756699588252,-0.023098404669047747,0.009277339334035392,-0.014578600084047582,-0.10753794398078659,-0.0033725172642496337,-0.0016335429808290876,1.0,0.013233754499595733,0.33779681969589515,0.02065132442672075,,-0.9920009832497744,-0.00626822975329659
