,c2,c5
c1,0.0026905325363052,0.0012117641438744483
c10,0.10799376689691713,0.10457054353899631
c11,0.005191324212497348,0.01632663601208487
c12,0.016089017664070067,0.03957962124025362
c13,-0.8797972515560707,-0.7048059179319948
c14,0.06306477155897965,0.048982759473674364
c15,-0.33636828968719584,-0.3349170154323517
c16,0.0331369550880667,0.033319830143799085
c17,,
c18,0.8904180319605007,0.7128441034449969
c19,-0.013236568590427319,-0.07393174583031269
c2,,0.650687943927246
c3,-0.6565312212772639,-0.48609416832180974
c4,0.9432619062710278,0.5652676461779779
c5,0.650687943927246,
c6,0.01949639987957463,0.016710753845657778
c7,0.0006748609213234555,-0.01028101183922957
c8,0.0017410751733656982,-0.015207520920494514
c9,0.04259758938834109,0.053971317527300056
